y,Date,y_scaled,t
48237,2/22/2016,0.25407685986979334,0.3268025078369906
26379,2/23/2016,0.13894507300423486,0.3275862068965517
14994,2/24/2016,0.07897730864041463,0.3283699059561129
42707,2/25/2016,0.22494890757010724,0.329153605015674
36101,2/26/2016,0.19015338263489456,0.3299373040752351
37583,2/27/2016,0.19795946316077787,0.33072100313479624
61595,2/28/2016,0.3244369298190169,0.33150470219435735
47933,2/29/2016,0.2524756125824326,0.3322884012539185
55160,3/1/2016,0.2905421064829446,0.3330721003134796
43535,3/2/2016,0.22931019952383963,0.3338557993730408
37848,3/3/2016,0.19935528727640478,0.3346394984326019
29100,3/4/2016,0.1532772896782757,0.335423197492163
36875,3/5/2016,0.19423024250468787,0.33620689655172414
36377,3/6/2016,0.191607146619472,0.33699059561128525
56232,3/7/2016,0.29618861007521646,0.3377742946708464
67958,3/8/2016,0.35795251037650383,0.3385579937304075
81662,3/9/2016,0.4301350525672629,0.3393416927899687
82079,3/10/2016,0.4323315003265702,0.3401253918495298
76636,3/11/2016,0.4036617997176748,0.3409090909090909
81491,3/12/2016,0.4292343509681225,0.34169278996865204
63214,3/13/2016,0.3329646250763753,0.34247648902821315
16498,3/14/2016,0.08689926890419906,0.3432601880877743
57722,3/15/2016,0.3040368286876093,0.3440438871473354
68713,3/16/2016,0.3619292922908371,0.3448275862068966
65353,3/17/2016,0.3442312959568506,0.3456112852664577
69122,3/18/2016,0.3640836019636348,0.3463949843260188
49113,3/19/2016,0.25869098034258264,0.34717868338557994
29737,3/20/2016,0.15663253481659398,0.34796238244514105
44457,3/21/2016,0.23416661399405853,0.3487460815047022
62248,3/22/2016,0.3278764511303542,0.3495297805642633
80289,3/23/2016,0.42290310347007143,0.3503134796238245
67590,3/24/2016,0.3560141583970672,0.3510971786833856
70525,3/25/2016,0.3714735688852369,0.3518808777429467
67267,3/26/2016,0.35431283315424644,0.35266457680250785
52462,3/27/2016,0.27633103680761856,0.35344827586206895
35548,3/28/2016,0.18724058740492594,0.3542319749216301
55067,3/29/2016,0.2900522512272718,0.3550156739811912
61264,3/30/2016,0.3226934664896867,0.3557993730407524
79447,3/31/2016,0.41846806986494745,0.3565830721003135
67595,4/1/2016,0.35604049470113563,0.3573667711598746
46206,4/2/2016,0.24337905315719613,0.35815047021943575
28615,4/3/2016,0.15072266818363778,0.35893416927899685
20143,4/4/2016,0.10609843457008618,0.359717868338558
43723,4/5/2016,0.23030044455681267,0.3605015673981191
48901,4/6/2016,0.2575743210500811,0.3612852664576803
54591,4/7/2016,0.28754503507995705,0.3620689655172414
53039,4/8/2016,0.27937024629711565,0.3628526645768025
21151,4/9/2016,0.11140783347028212,0.36363636363636365
49190,4/10/2016,0.2590965594252365,0.36442006269592475
59206,4/11/2016,0.31185344373512,0.3652037617554859
43504,4/12/2016,0.22914691443861535,0.365987460815047
71788,4/13/2016,0.3781261192929229,0.3667711598746082
88278,4/14/2016,0.4649832501106125,0.3675548589341693
86981,4/15/2016,0.4581516128352611,0.3683385579937304
102228,4/16/2016,0.5384615384615384,0.36912225705329155
115805,4/17/2016,0.6099751385289593,0.36990595611285265
102730,4/18/2016,0.5411057033900091,0.3706896551724138
107515,4/19/2016,0.5663095463834987,0.3714733542319749
104249,4/20/2016,0.5491066725659988,0.3722570532915361
104484,4/21/2016,0.550344478857215,0.3730407523510972
113556,4/22/2016,0.5981290689589785,0.3738244514106583
96274,4/23/2016,0.5071002675768493,0.37460815047021945
115132,4/24/2016,0.6064302720013485,0.37539184952978055
100925,4/25/2016,0.5315982976213051,0.3761755485893417
75454,4/26/2016,0.3974358974358974,0.3769592476489028
93272,4/27/2016,0.49128795061416264,0.3777429467084639
74857,4/28/2016,0.3942913427301266,0.3785266457680251
78020,4/29/2016,0.4109516886838169,0.3793103448275862
110776,4/30/2016,0.5834860838969302,0.38009404388714735
29020,5/1/2016,0.15285590881318079,0.38087774294670845
84418,5/2/2016,0.44465162336978276,0.3816614420062696
57652,5/3/2016,0.3036681204306512,0.3824451410658307
67962,5/4/2016,0.35797357941975855,0.3832288401253918
80750,5/5/2016,0.4253313107051809,0.384012539184953
42069,5/6/2016,0.22158839517097528,0.3847962382445141
78977,5/7/2016,0.4159924572825148,0.38557993730407525
84464,5/8/2016,0.44489391736721234,0.38636363636363635
103071,5/9/2016,0.5429018393274762,0.3871473354231975
89755,5/10/2016,0.47276299433242736,0.3879310344827586
106139,5/11/2016,0.5590617955038661,0.3887147335423197
115823,5/12/2016,0.6100699492236058,0.3894984326018809
68317,5/13/2016,0.35984345700861725,0.390282131661442
108807,5/14/2016,0.5731148473547816,0.39106583072100315
64857,5/15/2016,0.34161873459326214,0.39184952978056425
94791,5/16/2016,0.49928891979015233,0.3926332288401254
80744,5/17/2016,0.42529970714029874,0.3934169278996865
93320,5/18/2016,0.4915407791332196,0.3942006269592476
104291,5/19/2016,0.5493278975201736,0.3949843260188088
118192,5/20/2016,0.6225480900912289,0.3957680250783699
72663,5/21/2016,0.3827349725048986,0.39655172413793105
98270,5/22/2016,0.5176137201609675,0.39733542319749215
109072,5/23/2016,0.5745106714704086,0.3981191222570533
68156,5/24/2016,0.3589954280176137,0.3989028213166144
125803,5/25/2016,0.6626372121441966,0.3996865203761755
124751,5/26/2016,0.6570960537681984,0.4004702194357367
106768,5/27/2016,0.5623749025556749,0.4012539184952978
95897,5/28/2016,0.5051145102500896,0.40203761755485895
114069,5/29/2016,0.6008311737563997,0.40282131661442006
94241,5/30/2016,0.4963919263426248,0.4036050156739812
106059,5/31/2016,0.5586404146387712,0.4043887147335423
127143,6/1/2016,0.6696953416345364,0.4051724137931034
124918,6/2/2016,0.657975686324084,0.4059561128526646
85292,6/3/2016,0.44925520932094476,0.4067398119122257
107610,6/4/2016,0.5668099361607989,0.40752351097178685
54320,6/5/2016,0.28611760739944797,0.40830721003134796
123879,6/6/2016,0.6525030023386638,0.4090909090909091
114761,6/7/2016,0.6044761182394708,0.4098746081504702
89460,6/8/2016,0.47120915239238986,0.4106583072100313
127585,6/9/2016,0.6720234709141858,0.4114420062695925
119143,6/10/2016,0.6275572551250448,0.4122257053291536
111784,6/11/2016,0.5887954827971262,0.41300940438871475
117814,6/12/2016,0.6205570655036555,0.41379310344827586
110720,6/13/2016,0.5831911172913637,0.414576802507837
116030,6/14/2016,0.6111602722120388,0.4153605015673981
122197,6/15/2016,0.6436434696500432,0.4161442006269592
100175,6/16/2016,0.5276478520110401,0.4169278996865204
121671,6/17/2016,0.6408728904620441,0.4177115987460815
143869,6/18/2016,0.7577955460042559,0.41849529780564265
137558,6/19/2016,0.7245538630090808,0.41927899686520376
119765,6/20/2016,0.6308334913511577,0.4200626959247649
116215,6/21/2016,0.6121347154625708,0.420846394984326
119611,6/22/2016,0.63002233318585,0.4216300940438871
115262,6/23/2016,0.6071150159071277,0.4224137931034483
123440,6/24/2016,0.6501906748414554,0.4231974921630094
123815,6/25/2016,0.6521658976465878,0.42398119122257055
117472,6/26/2016,0.6187556623053747,0.42476489028213166
100253,6/27/2016,0.5280586983545077,0.42554858934169276
99918,6/28/2016,0.5262941659819228,0.4263322884012539
114793,6/29/2016,0.6046446705855087,0.427115987460815
125575,6/30/2016,0.661436276678676,0.4278996865203762
82871,7/1/16,0.4365031708910098,0.4286833855799373
111151,7/2/16,0.5854613067020626,0.42946708463949845
111116,7/3/16,0.5852769525735836,0.43025078369905956
109745,7/4/16,0.5780555379980196,0.43103448275862066
92107,7/5/16,0.4851515917662179,0.4318181818181818
109240,7/6/16,0.5753955712871078,0.43260188087774293
99975,7/7/16,0.5265943998483029,0.4333855799373041
91632,7/8/16,0.48264964287971684,0.4341692789968652
107359,7/9/16,0.5654878536965636,0.43495297805642635
123282,7/10/16,0.649358447632893,0.43573667711598746
122260,7/11/16,0.6439753070813055,0.43652037617554856
120414,7/12/16,0.6342519436192402,0.4373040752351097
121029,7/13/16,0.6374913090196574,0.43808777429467083
108541,7/14/16,0.5717137559783411,0.438871473354232
104701,7/15/16,0.5514874744537851,0.4396551724137931
103429,7/16/16,0.5447875186987758,0.44043887147335425
120635,7/17/16,0.635416008259065,0.44122257053291536
97216,7/18/16,0.5120620272633419,0.44200626959247646
